# Header line
# Header line
# Header line

Date	Time	Vx	Vy	Vz	X
		m/s	m/s	m/s	m/s
03-01-2005 20:28:00.000       5.91200         -2.49800         -1.65300          3.52800
03-01-2005 20:32:00.000       5.99300        -0.376000         -3.97400          4.01400
03-01-2005 20:36:00.000       5.60800         -2.60600         -2.86900          3.46900
03-01-2005 20:40:00.000       5.43300         -2.35500         -3.30500          3.32800
03-01-2005 20:44:00.000       5.71700        -0.808000         -3.25800          4.31300
03-01-2005 20:48:00.000       5.88500          1.43400         -3.82000          4.10900
03-01-2005 20:52:00.000       6.04800          1.59300         -3.78300          4.28200
03-01-2005 20:56:00.000       6.15300         0.169000         -3.59500          4.87500
03-01-2005 21:00:00.000       6.01600        -0.192000         -3.25800          4.96800
03-01-2005 21:04:00.000       6.06600         0.876000         -2.95100          5.14200
03-01-2005 21:08:00.000       6.00400         0.814000         -3.31300          4.90400
03-01-2005 21:12:00.000       5.75200          1.48500         -2.95400          4.43600
03-01-2005 21:16:00.000       5.73400          1.09800         -3.95500          3.82600
03-01-2005 21:20:00.000       5.40600         -3.42600        0.0490000          3.39000
03-01-2005 21:24:00.000       5.23700         -2.56600          1.05500          3.01500
03-01-2005 21:28:00.000       5.56800         -1.42000         -3.22400          4.12600
03-01-2005 21:32:00.000       5.23800         -3.81100        -0.208000          2.94800
03-01-2005 21:36:00.000       5.19900         -3.83300         -1.31400          2.88000
03-01-2005 21:40:00.000       5.30600         -4.17700        -0.976000          2.45200
03-01-2005 21:44:00.000       5.28700         -3.20200          1.96500          2.96900
03-01-2005 21:48:00.000       5.36700         -3.77700         -1.13900          3.03500
03-01-2005 21:52:00.000       5.45800         -3.02200        -0.484000          4.16300
03-01-2005 21:56:00.000       5.16900         -2.99400         -2.78700          1.96400
03-01-2005 22:00:00.000       5.42600         -2.05200        -0.227000          3.88700
03-01-2005 22:04:00.000       5.71700         -1.60700         -1.79400          4.84700
03-01-2005 22:08:00.000       5.73300        0.0960000         -2.60800          4.90100
03-01-2005 22:12:00.000       5.68000        -0.728000         -2.11900          4.74200
03-01-2005 22:16:00.000       5.26600         -2.39700        -0.442000          1.71100
03-01-2005 22:20:00.000       5.33700         -4.82400        -0.634000         0.869000
03-01-2005 22:24:00.000       5.38800         -4.74000         0.428000         0.819000
03-01-2005 22:28:00.000       5.14500         -3.28200          3.51600        0.0150000
03-01-2005 22:32:00.000       5.43500         -2.29500          4.42000         0.244000
03-01-2005 22:36:00.000       5.44800         -3.17500         0.743000          3.34900
03-01-2005 22:40:00.000       5.56500         -2.60100         0.410000          4.26800
03-01-2005 22:44:00.000       5.77200         -1.96900          1.76700          4.04400
03-01-2005 22:48:00.000       6.26800         -2.39900         0.370000          5.62300
03-01-2005 22:52:00.000       6.36400         -4.42600          2.19400          3.75200
03-01-2005 22:56:00.000       6.48400         -5.02400          3.47300          2.01700
03-01-2005 23:00:00.000       6.54500         -4.07900          5.01200         0.572000
03-01-2005 23:04:00.000       6.37800         -2.28100          5.72700         -1.37200
03-01-2005 23:08:00.000       6.36400         -2.82700          5.43800         -1.61500
03-01-2005 23:12:00.000       6.23100         -2.90200          4.94400         -2.29200
03-01-2005 23:16:00.000       6.12900         -4.31300          3.43100         -2.25100
